@RELATION PHOG

@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.169986,0.132300,0.729086,TUMORLU
0.998662,0.995437,0.053286,TUMORLU
0.339485,0.276897,0.408232,TUMORLU
0.954840,0.951923,0.059392,TUMORLU
0.338127,0.296086,0.283760,TUMORLU
0.943221,0.935443,0.141489,TUMORLU
0.226400,0.187700,0.882875,TUMORLU
0.967341,0.956288,0.041091,TUMORLU
0.169514,0.114869,0.390690,TUMORLU
0.940704,0.930677,0.050523,TUMORLU
0.194873,0.137078,0.485337,TUMORLU
0.964651,0.951097,0.110849,TUMORLU
0.194036,0.113329,0.354060,TUMORLU
0.970739,0.958018,0.130908,TUMORLU
0.353861,0.332543,0.269805,TUMORLU
0.942446,0.949662,0.084957,TUMORLU
0.270657,0.232903,0.741097,TUMORLU
0.922552,0.917028,0.206156,TUMORLU
0.216669,0.175251,0.559734,TUMORLU
0.923826,0.923641,0.112523,TUMORLU
0.444076,0.408638,0.436921,TUMORLU
0.931231,0.931494,0.122056,TUMORLU
0.430058,0.439476,0.286204,TUMORLU
0.924490,0.912908,0.135146,TUMORLU
0.148469,0.159121,0.876888,TUMORLU
0.918132,0.913724,0.148858,TUMORLU
0.143016,0.150610,0.829990,TUMORLU
0.965199,0.978868,0.089181,TUMORLU
0.217531,0.179795,0.594636,TUMORLU
0.932781,0.912496,0.106013,TUMORLU
0.304724,0.278904,0.649552,TUMORLU
0.972344,0.970201,0.037783,TUMORLU
0.196978,0.181748,0.578533,TUMORLU
0.975775,0.978745,0.054393,TUMORLU
0.211560,0.190441,0.606321,TUMORLU
0.981107,0.985773,0.031217,TUMORLU
0.294080,0.249754,0.678921,TUMORLU
0.937084,0.930591,0.130940,TUMORLU
0.208762,0.241109,0.835088,TUMORLU
0.957986,0.949259,0.039756,TUMORLU
0.196744,0.169655,0.544179,TUMORLU
0.866105,0.867577,0.334960,TUMORLU
0.322865,0.272766,0.718130,TUMORLU
0.945961,0.939144,0.055945,TUMORLU
0.180700,0.122679,0.186405,TUMORLU
0.924576,0.909440,0.121133,TUMORLU
0.236194,0.167582,0.361321,TUMORLU
0.951888,0.950848,0.117620,TUMORLU
0.330088,0.289375,0.169404,TUMORLU
0.953194,0.953126,0.094397,TUMORLU
0.390043,0.363905,0.323904,TUMORLU
0.879291,0.872754,0.354865,TUMORLU
0.167877,0.148951,0.820844,TUMORLU
0.950696,0.947875,0.066294,TUMORLU
0.193793,0.158575,0.504698,TUMORLU
0.942804,0.941610,0.124737,TUMORLU
0.391194,0.384902,0.773554,TUMORLU
0.920409,0.925238,0.094479,TUMORLU
0.279575,0.200250,0.355888,TUMORLU
0.925380,0.926832,0.123433,TUMORLU
0.333426,0.280927,0.622754,TUMORLU
0.889050,0.891996,0.196289,TUMORLU
0.200309,0.156686,0.517303,TUMORLU
0.943246,0.946682,0.112840,TUMORLU
0.263574,0.219988,0.621977,TUMORLU
0.945599,0.939431,0.090249,TUMORLU
0.378718,0.332099,0.509716,TUMORLU
0.929967,0.918881,0.091852,TUMORLU
0.252274,0.194403,0.664947,TUMORLU
0.945190,0.933718,0.091620,TUMORLU
0.290284,0.233961,0.596180,TUMORLU
0.940592,0.929196,0.109481,TUMORLU
0.281932,0.227483,0.650155,TUMORLU
0.961823,0.946563,0.044740,TUMORLU
0.172075,0.138070,0.760882,TUMORLU
0.939394,0.922510,0.066947,TUMORLU
0.195689,0.159036,0.771985,TUMORLU
0.918824,0.909472,0.253807,TUMORLU
0.216425,0.194221,0.620823,TUMORLU
0.947918,0.949476,0.045672,TUMORLU
0.366810,0.306143,0.288377,TUMORLU
0.929647,0.916326,0.094890,TUMORLU
0.326500,0.275625,0.378067,TUMORLU
0.915772,0.929610,0.130282,TUMORLU
0.384706,0.352089,0.492938,TUMORLU
0.944243,0.950873,0.064506,TUMORLU
0.398988,0.364340,0.344655,TUMORLU
0.965549,0.958907,0.076116,TUMORLU
0.073402,0.099957,0.550845,TUMORLU
0.962829,0.947146,0.085307,TUMORLU
0.251176,0.200181,0.641232,TUMORLU
0.957383,0.948306,0.058965,TUMORLU
0.328323,0.270676,0.558958,TUMORLU
0.964551,0.954097,0.091893,TUMORLU
0.301746,0.259367,0.304876,TUMORLU
0.942365,0.939627,0.066579,TUMORLU
0.224391,0.192476,0.752853,TUMORLU
0.920155,0.911459,0.090523,TUMORLU
0.161712,0.099038,0.191262,TUMORLU
0.919163,0.903611,0.074988,TUMORLU
0.378440,0.341698,0.533859,TUMORLU
0.932220,0.924934,0.079985,TUMORLU
0.087650,0.083712,0.284674,TUMORLU
0.969002,0.956336,0.122247,TUMORLU
0.219582,0.147933,0.141989,TUMORLU
0.916854,0.918454,0.067769,TUMORLU
0.330775,0.304781,0.722424,TUMORLU
0.950547,0.954953,0.055002,TUMORLU
0.269283,0.233953,0.760331,TUMORLU
0.957077,0.950097,0.057064,TUMORLU
0.097300,0.111625,0.615147,TUMORLU
0.948936,0.951729,0.094905,TUMORLU
0.194727,0.181460,1.000000,TUMORLU
0.956537,0.952612,0.057888,TUMORLU
0.249636,0.202650,0.520592,TUMORLU
0.964437,0.959529,0.048583,TUMORLU
0.257050,0.203138,0.617333,TUMORLU
0.924328,0.914980,0.051200,TUMORLU
0.283805,0.238049,0.511471,TUMORLU
0.946431,0.943189,0.110050,TUMORLU
0.109643,0.131822,0.726449,TUMORLU
0.935608,0.930017,0.061778,TUMORLU
0.315400,0.275617,0.413881,TUMORLU
0.903567,0.911121,0.036578,TUMORLU
0.312392,0.284707,0.713621,TUMORLU
0.823582,0.826611,0.273584,TUMORLU
0.301938,0.262499,0.425635,TUMORLU
0.931696,0.937648,0.067181,TUMORLU
0.156451,0.117160,0.476266,TUMORLU
0.897973,0.914060,0.109976,TUMORLU
0.216029,0.179094,0.595560,TUMORLU
