@RELATION SHAPE

@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.751977,0.252843,0.511085,0.387500,TUMORLU
0.083638,0.075824,0.632086,0.293174,TUMORLU
0.769283,0.259029,0.498171,0.397436,TUMORLU
0.095703,0.085774,0.565201,0.418324,TUMORLU
0.768650,0.253676,0.518991,0.397436,TUMORLU
0.079029,0.076895,0.580739,0.332143,TUMORLU
0.729565,0.270126,0.434432,0.402597,TUMORLU
0.083548,0.082952,0.527563,0.230078,TUMORLU
0.744838,0.289657,0.385729,0.378049,TUMORLU
0.069450,0.066188,0.688808,0.367457,TUMORLU
0.737111,0.286132,0.391192,0.382716,TUMORLU
0.076002,0.073629,0.609134,0.304464,TUMORLU
0.728254,0.296838,0.359114,0.387500,TUMORLU
0.073155,0.063604,0.785727,0.248915,TUMORLU
0.732592,0.512113,0.121372,0.310000,TUMORLU
0.040667,0.047078,0.797256,0.261563,TUMORLU
0.343771,0.361234,0.114467,0.508197,TUMORLU
0.085355,0.085980,0.501678,0.271019,TUMORLU
0.892820,0.545044,0.130584,0.287037,TUMORLU
0.038498,0.050550,0.654624,0.294837,TUMORLU
0.747278,0.354094,0.258961,0.356322,TUMORLU
0.117573,0.101359,0.497245,0.539732,TUMORLU
0.510596,0.449092,0.110001,0.364706,TUMORLU
0.234829,0.132171,0.584076,0.460631,TUMORLU
0.445439,0.332972,0.174567,0.430556,TUMORLU
0.376214,0.161285,0.628402,0.458426,TUMORLU
0.147485,0.218214,0.134578,1.000000,TUMORLU
0.287109,0.174285,0.410691,0.475236,TUMORLU
0.592608,0.344879,0.216482,0.413333,TUMORLU
0.110569,0.078593,0.777777,0.305921,TUMORLU
0.449460,0.378007,0.136672,0.424658,TUMORLU
0.105779,0.084466,0.644210,0.298077,TUMORLU
0.730288,0.368425,0.233768,0.300971,TUMORLU
0.260359,0.130419,0.665087,0.262946,TUMORLU
0.707831,0.354040,0.245365,0.300971,TUMORLU
0.277349,0.134182,0.669306,0.287598,TUMORLU
0.534454,0.220431,0.477917,0.289444,TUMORLU
0.282680,0.153607,0.520554,0.137323,TUMORLU
0.573268,0.290199,0.295771,0.407895,TUMORLU
0.217613,0.126504,0.590836,0.201823,TUMORLU
0.651439,0.294146,0.327143,0.369048,TUMORLU
0.471104,0.202015,0.501579,0.345982,TUMORLU
0.641318,0.299683,0.310269,0.322917,TUMORLU
0.304595,0.153553,0.561303,0.242188,TUMORLU
0.588722,0.277934,0.331144,0.352273,TUMORLU
0.443993,0.205854,0.455246,0.191443,TUMORLU
0.738692,0.344534,0.270389,0.348315,TUMORLU
0.067778,0.060445,0.806033,0.209459,TUMORLU
0.679047,0.328246,0.273836,0.373494,TUMORLU
0.037685,0.047597,0.722749,0.312826,TUMORLU
0.731553,0.344902,0.267205,0.336957,TUMORLU
0.045411,0.050052,0.787600,0.287037,TUMORLU
0.415616,0.292470,0.211114,0.455882,TUMORLU
0.247707,0.136583,0.576941,0.198718,TUMORLU
0.417559,0.322655,0.174273,0.424658,TUMORLU
0.377163,0.169689,0.569131,0.183475,TUMORLU
0.503140,0.275577,0.287867,0.407895,TUMORLU
0.552664,0.215848,0.515411,0.213823,TUMORLU
0.655144,0.341896,0.243523,0.356322,TUMORLU
0.222810,0.148383,0.439698,0.135731,TUMORLU
0.699110,0.301435,0.334309,0.373494,TUMORLU
0.311418,0.190681,0.372151,0.156566,TUMORLU
0.869685,0.279663,0.483149,0.336957,TUMORLU
0.051557,0.061646,0.589474,0.221429,TUMORLU
0.478921,0.330777,0.190188,0.369048,TUMORLU
0.249605,0.120707,0.744348,0.187610,TUMORLU
0.440965,0.251167,0.303716,0.574074,TUMORLU
0.139307,0.093918,0.686219,0.324751,TUMORLU
0.366093,0.321087,0.154289,0.563636,TUMORLU
0.308617,0.138465,0.699406,0.217025,TUMORLU
0.670779,0.322212,0.280728,0.274336,TUMORLU
0.046767,0.051307,0.771935,0.166071,TUMORLU
0.541458,0.298353,0.264298,0.424658,TUMORLU
0.179929,0.104020,0.722531,0.237939,TUMORLU
0.585333,0.292686,0.296886,0.413333,TUMORLU
0.156568,0.106399,0.600922,0.269097,TUMORLU
0.583164,0.265399,0.359733,0.430556,TUMORLU
0.128598,0.092718,0.649978,0.351172,TUMORLU
0.546609,0.330517,0.217409,0.413333,TUMORLU
0.170078,0.106161,0.655701,0.216694,TUMORLU
0.472098,0.242624,0.348461,0.508197,TUMORLU
0.393159,0.189512,0.475647,0.471848,TUMORLU
0.693552,0.271326,0.409341,0.352273,TUMORLU
0.041525,0.045953,0.854416,0.224888,TUMORLU
0.435950,0.283309,0.235995,0.340659,TUMORLU
0.246442,0.131857,0.615879,0.213695,TUMORLU
0.549049,0.370284,0.173992,0.300971,TUMORLU
0.076183,0.077101,0.556833,0.254297,TUMORLU
0.374542,0.277566,0.211231,0.484375,TUMORLU
0.284894,0.151152,0.541811,0.359245,TUMORLU
0.613393,0.280595,0.338508,0.476923,TUMORLU
0.063395,0.059061,0.789664,0.325700,TUMORLU
0.564864,0.362055,0.187234,0.436620,TUMORLU
0.083006,0.082141,0.534539,0.224888,TUMORLU
0.445664,0.241271,0.332649,0.455882,TUMORLU
0.110614,0.102170,0.460419,0.200431,TUMORLU
0.569427,0.383674,0.168075,0.476923,TUMORLU
0.121413,0.100602,0.521246,0.281728,TUMORLU
0.607022,0.397884,0.166602,0.348315,TUMORLU
0.295739,0.163588,0.480172,0.444010,TUMORLU
0.704216,0.474336,0.135995,0.326316,TUMORLU
0.001898,0.010339,0.771360,0.322917,TUMORLU
0.077493,0.087418,0.440606,0.696289,TUMORLU
0.821111,0.311223,0.368339,0.344444,TUMORLU
0.084316,0.078983,0.587269,0.302734,TUMORLU
0.867245,0.521198,0.138716,0.313131,TUMORLU
0.065519,0.065691,0.659694,0.242188,TUMORLU
0.279969,0.271133,0.165476,0.456583,TUMORLU
0.270345,0.135567,0.639149,0.286589,TUMORLU
0.386471,0.361212,0.128701,0.407895,TUMORLU
0.175997,0.104441,0.701056,0.350399,TUMORLU
0.297140,0.188387,0.363786,0.226461,TUMORLU
0.286612,0.134863,0.684692,0.281250,TUMORLU
0.447924,0.375650,0.137920,0.336957,TUMORLU
0.333740,0.161025,0.559256,0.347656,TUMORLU
0.337807,0.241370,0.251937,0.182321,TUMORLU
0.232118,0.135459,0.549645,0.379275,TUMORLU
0.958972,0.309610,0.434675,0.319588,TUMORLU
0.043423,0.050496,0.739947,0.298077,TUMORLU
0.546112,0.284900,0.292339,0.397436,TUMORLU
0.195789,0.127337,0.524647,0.271417,TUMORLU
0.648909,0.300310,0.312632,0.348315,TUMORLU
0.229859,0.125379,0.635327,0.253540,TUMORLU
0.521666,0.267899,0.315821,0.360254,TUMORLU
0.095793,0.097780,0.435339,0.320898,TUMORLU
0.537210,0.473094,0.104289,0.253297,TUMORLU
0.050698,0.061149,0.589124,0.188368,TUMORLU
0.559125,0.540080,0.083288,0.298077,TUMORLU
0.076499,0.075014,0.590698,0.262370,TUMORLU
0.604266,0.428158,0.143222,0.246224,TUMORLU
0.057657,0.077025,0.422256,0.125751,TUMORLU
0.554607,0.390985,0.157636,0.352273,TUMORLU
0.397497,0.151519,0.752296,0.403646,TUMORLU
0.611495,0.339051,0.231128,0.339619,TUMORLU
0.086937,0.095746,0.412053,0.320898,TUMORLU
0.554155,0.291292,0.283768,0.419564,TUMORLU
0.072161,0.075014,0.557203,0.223558,TUMORLU
0.383896,0.226336,0.325609,0.596154,TUMORLU
0.336361,0.180373,0.449211,0.343750,TUMORLU
0.438887,0.236653,0.340501,0.508197,TUMORLU
0.558673,0.188387,0.683980,0.258515,TUMORLU
0.673309,0.574180,0.088737,0.313131,TUMORLU
0.051060,0.060445,0.607212,0.292295,TUMORLU
0.825810,0.525490,0.129939,0.319588,TUMORLU
0.058967,0.061095,0.686419,0.337333,TUMORLU
0.593331,0.248139,0.418694,0.462687,TUMORLU
0.308843,0.136010,0.725412,0.348410,TUMORLU
0.224210,0.186797,0.279193,0.614329,TUMORLU
0.233473,0.143397,0.493340,0.245460,TUMORLU
0.464959,0.387190,0.134758,0.392405,TUMORLU
0.159098,0.088305,0.886509,0.252279,TUMORLU
0.444309,0.385622,0.129823,0.351467,TUMORLU
0.166644,0.093788,0.823156,0.246936,TUMORLU
0.539289,0.290674,0.277331,0.424658,TUMORLU
0.229813,0.121518,0.676213,0.343466,TUMORLU
0.772175,0.342966,0.285235,0.312097,TUMORLU
0.136731,0.109481,0.495656,0.092262,TUMORLU
0.757399,0.254661,0.507445,0.295469,TUMORLU
0.125390,0.079923,0.852910,0.180453,TUMORLU
0.507297,0.257407,0.332667,0.534483,TUMORLU
0.167231,0.111017,0.589557,0.374290,TUMORLU
0.384980,0.323533,0.159805,0.492063,TUMORLU
0.070986,0.069141,0.645205,0.299173,TUMORLU
0.650264,0.418724,0.161148,0.352273,TUMORLU
0.140030,0.096763,0.649820,0.280938,TUMORLU
0.379061,0.359577,0.127384,0.452321,TUMORLU
0.279156,0.129976,0.717979,0.340704,TUMORLU
0.396367,0.396598,0.109493,0.356322,TUMORLU
0.334192,0.145377,0.687058,0.310409,TUMORLU
0.740229,0.235972,0.577611,0.430556,TUMORLU
0.154670,0.088121,0.865432,0.308239,TUMORLU
0.588767,0.324590,0.242807,0.418919,TUMORLU
0.104604,0.076192,0.782929,0.293174,TUMORLU
0.533008,0.281276,0.292724,0.382716,TUMORLU
0.328498,0.184181,0.420759,0.476302,TUMORLU
0.947494,0.334755,0.367376,0.295238,TUMORLU
0.147847,0.095379,0.706156,0.246936,TUMORLU
0.602142,0.328031,0.243142,0.356322,TUMORLU
0.217342,0.133815,0.527381,0.269097,TUMORLU
0.872035,0.295539,0.433803,0.333333,TUMORLU
0.085807,0.073943,0.681900,0.214666,TUMORLU
0.387375,0.263464,0.242481,0.516667,TUMORLU
0.205820,0.102484,0.851469,0.338053,TUMORLU
0.733541,0.575869,0.096110,0.254098,TUMORLU
0.287606,0.152957,0.534131,0.291280,TUMORLU
0.800596,0.353435,0.278473,0.264957,TUMORLU
0.211875,0.110130,0.759022,0.358438,TUMORLU
0.836519,0.353033,0.291632,0.264957,TUMORLU
0.306086,0.135773,0.721455,0.361296,TUMORLU
0.845195,0.347052,0.304899,0.264957,TUMORLU
0.259997,0.130863,0.659669,0.385706,TUMORLU
0.679409,0.272647,0.397117,0.337333,TUMORLU
0.048213,0.059505,0.591631,0.184827,TUMORLU
0.803172,0.267151,0.488972,0.387500,TUMORLU
0.080430,0.076398,0.598751,0.336372,TUMORLU
0.595093,0.365612,0.193435,0.413333,TUMORLU
0.083006,0.079740,0.567216,0.408691,TUMORLU
0.372916,0.302769,0.176757,0.165822,TUMORLU
0.194343,0.144728,0.403139,0.223267,TUMORLU
0.897429,0.396329,0.248243,0.258333,TUMORLU
0.177940,0.123735,0.504982,0.201823,TUMORLU
0.783200,0.287310,0.412250,0.316327,TUMORLU
0.280737,0.147604,0.559880,0.193750,TUMORLU
0.764313,0.363340,0.251555,0.295238,TUMORLU
0.244318,0.164994,0.389949,0.264543,TUMORLU
0.761195,0.298084,0.372228,0.344444,TUMORLU
0.037640,0.049793,0.659636,0.216239,TUMORLU
0.646649,0.307039,0.298039,0.321039,TUMORLU
0.098730,0.097130,0.454707,0.226393,TUMORLU
0.740048,0.334746,0.286958,0.360465,TUMORLU
0.171343,0.115797,0.555213,0.388509,TUMORLU
0.493019,0.210589,0.483037,0.492726,TUMORLU
0.225114,0.125357,0.622434,0.392344,TUMORLU
0.747413,0.344252,0.274029,0.356322,TUMORLU
0.107090,0.093788,0.528980,0.513731,TUMORLU
0.891510,0.520320,0.143078,0.287037,TUMORLU
0.046722,0.052247,0.743667,0.302734,TUMORLU
0.447156,0.322893,0.186351,0.430556,TUMORLU
0.302878,0.140553,0.666163,0.421586,TUMORLU
0.741403,0.477019,0.141571,0.313131,TUMORLU
0.026253,0.037312,0.819349,0.370404,TUMORLU
0.731689,0.534579,0.111248,0.261477,TUMORLU
0.073472,0.077468,0.531935,0.192649,TUMORLU
0.532285,0.453894,0.112260,0.378049,TUMORLU
0.267363,0.139925,0.593331,0.409213,TUMORLU
0.554426,0.337927,0.210954,0.413333,TUMORLU
0.112738,0.109687,0.407145,0.344444,TUMORLU
0.450047,0.372340,0.141048,0.424658,TUMORLU
0.074601,0.073240,0.604287,0.161458,TUMORLU
0.642131,0.262653,0.404434,0.392405,TUMORLU
0.118070,0.096946,0.545838,0.272461,TUMORLU
0.559577,0.286369,0.296481,0.436620,TUMORLU
0.164566,0.092458,0.836452,0.257015,TUMORLU
0.548461,0.296341,0.271364,0.436620,TUMORLU
0.154489,0.097206,0.710393,0.246591,TUMORLU
0.557815,0.281222,0.306465,0.356322,TUMORLU
0.244182,0.115614,0.793754,0.344651,TUMORLU
0.615743,0.299056,0.299147,0.402597,TUMORLU
0.016945,0.028747,0.890936,0.256434,TUMORLU
0.561565,0.317356,0.242269,0.382716,TUMORLU
0.280195,0.119583,0.851361,0.350307,TUMORLU
0.508563,0.416323,0.127489,0.369048,TUMORLU
0.276942,0.141883,0.597747,0.488945,TUMORLU
0.498803,0.289572,0.258467,0.449275,TUMORLU
0.239212,0.110628,0.849268,0.238403,TUMORLU
0.778320,0.348490,0.278462,0.326316,TUMORLU
0.069902,0.057547,0.917135,0.220818,TUMORLU
0.675116,0.260100,0.433599,0.469697,TUMORLU
0.097691,0.074960,0.755419,0.391774,TUMORLU
